,precursor_name,updated_precursor_name
1387,PG(20:0_20:4),PG(20:0_20:4)
1388,PG(20:0_20:5),PG(20:0_20:5)
1389,PG(20:0_22:4),PG(20:0_22:4)
1390,PG(20:0_22:5),PG(20:0_22:5)
1391,PG(20:0_22:6),PG(20:0_22:6)
1392,PG(20:1_20:1),PG(20:1_20:1)
1393,PG(20:1_20:2),PG(20:1_20:2)
1394,PG(20:1_20:3),PG(20:1_20:3)
1395,PG(20:1_20:4),PG(20:1_20:4)
1396,PG(20:1_20:5),PG(20:1_20:5)
1397,PG(20:1_22:4),PG(20:1_22:4)
1398,PG(20:1_22:5),PG(20:1_22:5)
1399,PG(20:2_20:3),PG(20:2_20:3)
1400,PG(20:2_20:4),PG(20:2_20:4)
1401,PG(20:2_22:4),PG(20:2_22:4)
1402,PG(20:2_22:5),PG(20:2_22:5)
1403,PG(20:2_22:6),PG(20:2_22:6)
1404,PG(20:3_20:3),PG(20:3_20:3)
1405,PG(20:3_20:4),PG(20:3_20:4)
1406,PG(20:3_22:4),PG(20:3_22:4)
1407,PG(20:3_22:5),PG(20:3_22:5)
1408,PG(20:3_22:6),PG(20:3_22:6)
1409,PG(20:4_20:4),PG(20:4_20:4)
1410,PG(20:4_20:5),PG(20:4_20:5)
1411,PG(20:4_22:4),PG(20:4_22:4)
1412,PG(20:4_22:5),PG(20:4_22:5)
1413,PG(20:4_22:6),PG(20:4_22:6)
1414,PG(20:5_20:5),PG(20:5_20:5)
1415,PG(20:5_22:4),PG(20:5_22:4)
1416,PG(20:5_22:5),PG(20:5_22:5)
1417,PG(20:5_22:6),PG(20:5_22:6)
1418,PG(22:4_22:4),PG(22:4_22:4)
1419,PG(22:5_22:5),PG(22:5_22:5)
1420,PG(22:5_22:6),PG(22:5_22:6)
1421,PG(22:6_22:6),PG(22:6_22:6)
1422,SIL_17:0-14:1 PG-d5,SIL_PG(17:0_14:1)_d5
1423,SIL_17:0-16:1 PG-d5,SIL_PG(17:0_16:1)_d5
1424,SIL_17:0-18:1 PG-d5,SIL_PG(17:0_18:1)_d5
1425,SIL_17:0-20:3 PG-d5,SIL_PG(17:0_20:3)_d5
1426,SIL_17:0-22:4 PG-d5,SIL_PG(17:0_22:4)_d5
1427,PI(14:0_14:0),PI(14:0_14:0)
1428,PI(14:0_16:0),PI(14:0_16:0)
1429,PI(14:0_16:1),PI(14:0_16:1)
1430,PI(14:0_17:0),PI(14:0_17:0)
1431,PI(14:0_18:0),PI(14:0_18:0)
